Time (min),Temperature (degC),Weight (mg),Heat Flow (mW),Temperature Difference (degC),Temperature Difference (muV),Sample Purge Flow (mL/min)
6.11E-04,50.72294,8.116201,-11.28152,0.0756052,0.4785191,100.021
0.004166667,50.71142,8.116169,-11.28195,0.07552681,0.4780003,99.99045
0.0125,50.69664,8.116134,-11.2821,0.07547989,0.4776802,100.0215
0.02083334,50.68188,8.116106,-11.28253,0.075402,0.4771644,99.98408
0.02916666,50.67211,8.116082,-11.28307,0.07531188,0.4765718,100.011
0.0375,50.65588,8.116066,-11.28396,0.07518,0.4757146,99.98119
0.04583334,50.64624,8.116064,-11.28458,0.07507981,0.4750586,100.0287
0.05416668,50.6319,8.116074,-11.28501,0.0750022,0.4745453,99.98301
0.0625,50.61695,8.116063,-11.28563,0.07490384,0.4739016,99.98803
0.07083332,50.60352,8.11603,-11.28604,0.07482834,0.473402,100.0175
0.07916666,50.5923,8.115999,-11.28628,0.07477344,0.4730334,100.0133
0.0875,50.5771,8.116013,-11.28684,0.07468076,0.472425,100.003
0.09583332,50.56859,8.11604,-11.287,0.07463544,0.4721172,100.0014
0.1041666,50.5557,8.116048,-11.28683,0.07462902,0.4720558,99.97197
0.1125,50.54176,8.116034,-11.28667,0.07462109,0.4719844,100.0208
0.1208333,50.5291,8.116019,-11.28604,0.07466754,0.4722572,99.97765
0.1291666,50.52414,8.116005,-11.28522,0.07473692,0.4726756,100.021
0.1375,50.50946,8.11598,-11.28409,0.07484382,0.4733324,99.98278
0.1458333,50.49864,8.115958,-11.28301,0.07494388,0.4739452,100.0098
0.1541667,50.48393,8.115961,-11.2817,0.07507126,0.4747312,100.0169
0.1625,50.47674,8.115958,-11.27993,0.07525119,0.4758493,99.96738
0.1708334,50.46866,8.11593,-11.27776,0.07548022,0.4772797,100.0309
0.1791666,50.46282,8.115889,-11.27607,0.0756545,0.4783639,99.97553
0.1875,50.4521,8.115857,-11.27432,0.07583584,0.4794933,100.0082
0.1958334,50.44477,8.11582,-11.27211,0.07607169,0.4809682,100.0104
0.2041667,50.4369,8.115772,-11.2699,0.07630926,0.4824543,99.99009
0.2125,50.43113,8.11574,-11.26713,0.07661111,0.4843472,99.97544
0.2208333,50.42667,8.115708,-11.26401,0.0769554,0.486509,100.0107
0.2291667,50.4219,8.115671,-11.2607,0.07732306,0.48882,99.99268
0.2375,50.41436,8.115625,-11.25689,0.07775024,0.4915083,100.0317
0.2458334,50.41363,8.115569,-11.25342,0.07813926,0.4939566,100.0201
0.2541666,50.411,8.115522,-11.2497,0.07855859,0.4965967,99.96101
0.2625,50.4082,8.115494,-11.24528,0.07906043,0.4997598,100.0091
0.2708334,50.40734,8.115447,-11.24084,0.0795658,0.5029458,99.9952
0.2791667,50.40356,8.115406,-11.23608,0.08010852,0.5063687,99.99608
0.2875,50.40391,8.115369,-11.23078,0.08071652,0.5102062,100.0088
0.2958333,50.40656,8.11533,-11.22572,0.08129774,0.513875,100.0002
0.3041667,50.41094,8.115295,-11.22052,0.08189701,0.5176594,99.9834
0.3125,50.41358,8.115253,-11.21485,0.08255305,0.5218044,100.0224
0.3208333,50.41417,8.11521,-11.20941,0.08318319,0.5257866,100.0084
0.3291667,50.42184,8.11516,-11.20316,0.08391051,0.5303852,99.94664
0.3375,50.42313,8.115111,-11.197,0.08462716,0.534917,100.0404
0.3458333,50.435,8.115063,-11.19073,0.08535816,0.5395416,100.0052
0.3541666,50.44332,8.115022,-11.18375,0.08617515,0.544712,99.98231
0.3625,50.45096,8.114982,-11.17642,0.08703475,0.5501538,99.9943
0.3708334,50.46144,8.114955,-11.16874,0.08793641,0.5558636,100.0228
0.3791666,50.47375,8.114906,-11.16063,0.08888965,0.5619016,99.99172
0.3875,50.485,8.114849,-11.1529,0.08980158,0.5676806,100.0099
0.3958334,50.50196,8.1148,-11.14446,0.09079629,0.573985,99.99269
0.4041666,50.51509,8.11476,-11.1356,0.09184344,0.5806246,100.0087
0.4125,50.52778,8.114734,-11.12676,0.09288985,0.5872608,100.0118
0.4208333,50.54317,8.114697,-11.11772,0.09396125,0.5940581,99.99397
0.4291667,50.56044,8.11466,-11.10806,0.09510712,0.6013285,99.96148
0.4375,50.58062,8.114619,-11.09843,0.09625093,0.6085882,100.0051
0.4458333,50.60046,8.114576,-11.08846,0.09743559,0.61611,100.0014
0.4541667,50.62074,8.114534,-11.07839,0.09863474,0.6237266,100.0116
